ID	Group	Date	Time	BT
S29	Torpid	18.01.2020	12:47:01	35,463
S29	Torpid	18.01.2020	13:07:01	35,65
S29	Torpid	18.01.2020	13:27:01	36,211
S29	Torpid	18.01.2020	13:47:01	35,65
S29	Torpid	18.01.2020	14:07:01	35,962
S29	Torpid	18.01.2020	14:27:01	36,772
S29	Torpid	18.01.2020	14:47:01	36,461
S29	Torpid	18.01.2020	15:07:01	36,024
S29	Torpid	18.01.2020	15:27:01	36,648
S29	Torpid	18.01.2020	15:47:01	36,273
S29	Torpid	18.01.2020	16:07:01	36,273
S29	Torpid	18.01.2020	16:27:01	37,084
S29	Torpid	18.01.2020	16:47:01	36,835
S29	Torpid	18.01.2020	17:07:01	36,211
S29	Torpid	18.01.2020	17:27:01	36,772
S29	Torpid	18.01.2020	17:47:01	36,71
S29	Torpid	18.01.2020	18:07:01	36,149
S29	Torpid	18.01.2020	18:27:01	36,523
S29	Torpid	18.01.2020	18:47:01	36,336
S29	Torpid	18.01.2020	19:07:01	37,396
S29	Torpid	18.01.2020	19:27:01	37,084
S29	Torpid	18.01.2020	19:47:01	37,271
S29	Torpid	18.01.2020	20:07:01	37,209
S29	Torpid	18.01.2020	20:27:01	37,209
S29	Torpid	18.01.2020	20:47:01	37,458
S29	Torpid	18.01.2020	21:07:01	36,959
S29	Torpid	18.01.2020	21:27:01	37,52
S29	Torpid	18.01.2020	21:47:01	36,959
S29	Torpid	18.01.2020	22:07:01	37,146
S29	Torpid	18.01.2020	22:27:01	37,396
S29	Torpid	18.01.2020	22:47:01	37,084
S29	Torpid	18.01.2020	23:07:01	36,71
S29	Torpid	18.01.2020	23:27:01	36,398
S29	Torpid	18.01.2020	23:47:01	36,959
S29	Torpid	19.01.2020	00:07:01	36,398
S29	Torpid	19.01.2020	00:27:01	37,084
S29	Torpid	19.01.2020	00:47:01	37,333
S29	Torpid	19.01.2020	01:07:01	36,648
S29	Torpid	19.01.2020	01:27:01	37,396
S29	Torpid	19.01.2020	01:47:01	37,084
S29	Torpid	19.01.2020	02:07:01	37,271
S29	Torpid	19.01.2020	02:27:01	37,146
S29	Torpid	19.01.2020	02:47:01	36,398
S29	Torpid	19.01.2020	03:07:01	35,899
S29	Torpid	19.01.2020	03:27:01	35,463
S29	Torpid	19.01.2020	03:47:01	36,211
S29	Torpid	19.01.2020	04:07:01	36,149
S29	Torpid	19.01.2020	04:27:01	36,71
S29	Torpid	19.01.2020	04:47:01	36,461
S29	Torpid	19.01.2020	05:07:01	36,024
S29	Torpid	19.01.2020	05:27:01	35,525
S29	Torpid	19.01.2020	05:47:01	35,837
S29	Torpid	19.01.2020	06:07:01	36,897
S29	Torpid	19.01.2020	06:27:01	36,461
S29	Torpid	19.01.2020	06:47:01	36,086
S29	Torpid	19.01.2020	07:07:01	35,463
S29	Torpid	19.01.2020	07:27:01	35,962
S29	Torpid	19.01.2020	07:47:01	35,712
S29	Torpid	19.01.2020	08:07:01	35,213
S29	Torpid	19.01.2020	08:27:01	36,086
S29	Torpid	19.01.2020	08:47:01	36,273
S29	Torpid	19.01.2020	09:07:01	36,398
S29	Torpid	19.01.2020	09:27:01	36,149
S29	Torpid	19.01.2020	09:47:01	35,588
S29	Torpid	19.01.2020	10:07:01	35,65
S29	Torpid	19.01.2020	10:27:01	35,588
S29	Torpid	19.01.2020	10:47:01	35,65
S29	Torpid	19.01.2020	11:07:01	35,899
S29	Torpid	19.01.2020	11:27:01	36,336
S29	Torpid	19.01.2020	11:47:01	35,962
S29	Torpid	19.01.2020	12:07:01	36,024
S29	Torpid	19.01.2020	12:27:01	36,336
S29	Torpid	19.01.2020	12:47:01	36,523
S29	Torpid	19.01.2020	13:07:01	36,523
S29	Torpid	19.01.2020	13:27:01	36,024
S29	Torpid	19.01.2020	13:47:01	35,65
S29	Torpid	19.01.2020	14:07:01	35,338
S29	Torpid	19.01.2020	14:27:01	35,899
S29	Torpid	19.01.2020	14:47:01	35,338
S29	Torpid	19.01.2020	15:07:01	36,273
S29	Torpid	19.01.2020	15:27:01	35,712
S29	Torpid	19.01.2020	15:47:01	35,65
S29	Torpid	19.01.2020	16:07:01	35,463
S29	Torpid	19.01.2020	16:27:01	35,962
S29	Torpid	19.01.2020	16:47:01	35,962
S29	Torpid	19.01.2020	17:07:01	36,024
S29	Torpid	19.01.2020	17:27:01	36,648
S29	Torpid	19.01.2020	17:47:01	36,523
S29	Torpid	19.01.2020	18:07:01	36,336
S29	Torpid	19.01.2020	18:27:01	36,835
S29	Torpid	19.01.2020	18:47:01	36,211
S29	Torpid	19.01.2020	19:07:01	37,022
S29	Torpid	19.01.2020	19:27:01	36,585
S29	Torpid	19.01.2020	19:47:01	36,772
S29	Torpid	19.01.2020	20:07:01	37,333
S29	Torpid	19.01.2020	20:27:01	36,585
S29	Torpid	19.01.2020	20:47:01	37,084
S29	Torpid	19.01.2020	21:07:01	37,022
S29	Torpid	19.01.2020	21:27:01	37,458
S29	Torpid	19.01.2020	21:47:01	37,084
S29	Torpid	19.01.2020	22:07:01	37,084
S29	Torpid	19.01.2020	22:27:01	36,71
S29	Torpid	19.01.2020	22:47:01	36,897
S29	Torpid	19.01.2020	23:07:01	36,648
S29	Torpid	19.01.2020	23:27:01	37,583
S29	Torpid	19.01.2020	23:47:01	37,458
S29	Torpid	20.01.2020	00:07:01	37,458
S29	Torpid	20.01.2020	00:27:01	36,523
S29	Torpid	20.01.2020	00:47:01	36,772
S29	Torpid	20.01.2020	01:07:01	37,396
S29	Torpid	20.01.2020	01:27:01	37,77
S29	Torpid	20.01.2020	01:47:01	37,271
S29	Torpid	20.01.2020	02:07:01	36,71
S29	Torpid	20.01.2020	02:27:01	36,897
S29	Torpid	20.01.2020	02:47:01	37,022
S29	Torpid	20.01.2020	03:07:01	37,146
S29	Torpid	20.01.2020	03:27:01	36,71
S29	Torpid	20.01.2020	03:47:01	36,398
S29	Torpid	20.01.2020	04:07:01	36,149
S29	Torpid	20.01.2020	04:27:01	35,837
S29	Torpid	20.01.2020	04:47:01	36,897
S29	Torpid	20.01.2020	05:07:01	36,959
S29	Torpid	20.01.2020	05:27:01	36,086
S29	Torpid	20.01.2020	05:47:01	35,775
S29	Torpid	20.01.2020	06:07:01	36,273
S29	Torpid	20.01.2020	06:27:01	36,772
S29	Torpid	20.01.2020	06:47:01	36,149
S29	Torpid	20.01.2020	07:07:01	35,899
S29	Torpid	20.01.2020	07:27:01	35,837
S29	Torpid	20.01.2020	07:47:01	35,837
S29	Torpid	20.01.2020	08:07:01	35,65
S29	Torpid	20.01.2020	08:27:01	35,65
S29	Torpid	20.01.2020	08:47:01	35,65
S29	Torpid	20.01.2020	09:07:01	35,276
S29	Torpid	20.01.2020	09:27:01	36,086
S29	Torpid	20.01.2020	09:47:01	35,775
S29	Torpid	20.01.2020	10:07:01	35,962
S29	Torpid	20.01.2020	10:27:01	36,211
S29	Torpid	20.01.2020	10:47:01	35,837
S29	Torpid	20.01.2020	11:07:01	36,211
S29	Torpid	20.01.2020	11:27:01	36,086
S29	Torpid	20.01.2020	11:47:01	35,837
S29	Torpid	20.01.2020	12:07:01	35,712
S29	Torpid	20.01.2020	12:27:01	35,837
S29	Torpid	20.01.2020	12:47:01	35,588
S29	Torpid	20.01.2020	13:07:01	36,149
S29	Torpid	20.01.2020	13:27:01	36,398
S29	Torpid	20.01.2020	13:47:01	36,211
S29	Torpid	20.01.2020	14:07:01	35,775
S29	Torpid	20.01.2020	14:27:01	36,086
S29	Torpid	20.01.2020	14:47:01	35,837
S29	Torpid	20.01.2020	15:07:01	36,149
S29	Torpid	20.01.2020	15:27:01	36,71
S29	Torpid	20.01.2020	15:47:01	36,024
S29	Torpid	20.01.2020	16:07:01	36,398
S29	Torpid	20.01.2020	16:27:01	35,837
S29	Torpid	20.01.2020	16:47:01	35,962
S29	Torpid	20.01.2020	17:07:01	36,398
S29	Torpid	20.01.2020	17:27:01	36,336
S29	Torpid	20.01.2020	17:47:01	36,336
S29	Torpid	20.01.2020	18:07:01	37,022
S29	Torpid	20.01.2020	18:27:01	36,772
S29	Torpid	20.01.2020	18:47:01	36,461
S29	Torpid	20.01.2020	19:07:01	36,398
S29	Torpid	20.01.2020	19:27:01	36,648
S29	Torpid	20.01.2020	19:47:01	37,022
S29	Torpid	20.01.2020	20:07:01	37,52
S29	Torpid	20.01.2020	20:27:01	37,333
S29	Torpid	20.01.2020	20:47:01	36,648
S29	Torpid	20.01.2020	21:07:01	36,336
S29	Torpid	20.01.2020	21:27:01	36,398
S29	Torpid	20.01.2020	21:47:01	36,149
S29	Torpid	20.01.2020	22:07:01	36,273
S29	Torpid	20.01.2020	22:27:01	36,523
S29	Torpid	20.01.2020	22:47:01	36,772
S29	Torpid	20.01.2020	23:07:01	37,333
S29	Torpid	20.01.2020	23:27:01	36,959
S29	Torpid	20.01.2020	23:47:01	36,461
S29	Torpid	21.01.2020	00:07:01	36,211
S29	Torpid	21.01.2020	00:27:01	36,959
S29	Torpid	21.01.2020	00:47:01	36,897
S29	Torpid	21.01.2020	01:07:01	37,209
S29	Torpid	21.01.2020	01:27:01	37,084
S29	Torpid	21.01.2020	01:47:01	37,894
S29	Torpid	21.01.2020	02:07:01	37,77
S29	Torpid	21.01.2020	02:27:01	37,396
S29	Torpid	21.01.2020	02:47:01	37,52
S29	Torpid	21.01.2020	03:07:01	37,458
S29	Torpid	21.01.2020	03:27:01	37,77
S29	Torpid	21.01.2020	03:47:01	37,022
S29	Torpid	21.01.2020	04:07:01	37,146
S29	Torpid	21.01.2020	04:27:01	37,146
S29	Torpid	21.01.2020	04:47:01	36,772
S29	Torpid	21.01.2020	05:07:01	36,523
S29	Torpid	21.01.2020	05:27:01	36,336
S29	Torpid	21.01.2020	05:47:01	35,276
S29	Torpid	21.01.2020	06:07:01	35,65
S29	Torpid	21.01.2020	06:27:01	36,086
S29	Torpid	21.01.2020	06:47:01	36,211
S29	Torpid	21.01.2020	07:07:01	35,588
S29	Torpid	21.01.2020	07:27:01	35,525
S29	Torpid	21.01.2020	07:47:01	35,712
S29	Torpid	21.01.2020	08:07:01	36,71
S29	Torpid	21.01.2020	08:27:01	36,523
S29	Torpid	21.01.2020	08:47:01	35,65
S29	Torpid	21.01.2020	09:07:01	35,775
S29	Torpid	21.01.2020	09:27:01	35,775
S29	Torpid	21.01.2020	09:47:01	36,149
S29	Torpid	21.01.2020	10:07:01	36,523
S29	Torpid	21.01.2020	10:27:01	35,962
S29	Torpid	21.01.2020	10:47:01	36,149
S29	Torpid	21.01.2020	11:07:01	35,837
S29	Torpid	21.01.2020	11:27:01	36,211
S29	Torpid	21.01.2020	11:47:01	36,461
S29	Torpid	21.01.2020	12:07:01	36,211
S29	Torpid	21.01.2020	12:27:01	35,775
S29	Torpid	21.01.2020	12:47:01	35,65
S29	Torpid	21.01.2020	13:07:01	36,398
S29	Torpid	21.01.2020	13:27:01	36,585
S29	Torpid	21.01.2020	13:47:01	36,149
S29	Torpid	21.01.2020	14:07:01	36,273
S29	Torpid	21.01.2020	14:27:01	36,585
S29	Torpid	21.01.2020	14:47:01	37,084
S29	Torpid	21.01.2020	15:07:01	36,71
S29	Torpid	21.01.2020	15:27:01	36,648
S29	Torpid	21.01.2020	15:47:01	36,086
S29	Torpid	21.01.2020	16:07:01	35,962
S29	Torpid	21.01.2020	16:27:01	36,273
S29	Torpid	21.01.2020	16:47:01	36,772
S29	Torpid	21.01.2020	17:07:01	36,398
S29	Torpid	21.01.2020	17:27:01	36,336
S29	Torpid	21.01.2020	17:47:01	37,022
S29	Torpid	21.01.2020	18:07:01	36,772
S29	Torpid	21.01.2020	18:27:01	36,585
S29	Torpid	21.01.2020	18:47:01	36,523
S29	Torpid	21.01.2020	19:07:01	36,959
S29	Torpid	21.01.2020	19:27:01	36,835
S29	Torpid	21.01.2020	19:47:01	36,897
S29	Torpid	21.01.2020	20:07:01	36,959
S29	Torpid	21.01.2020	20:27:01	36,648
S29	Torpid	21.01.2020	20:47:01	37,396
S29	Torpid	21.01.2020	21:07:01	37,209
S29	Torpid	21.01.2020	21:27:01	37,022
S29	Torpid	21.01.2020	21:47:01	37,396
S29	Torpid	21.01.2020	22:07:01	36,648
S29	Torpid	21.01.2020	22:27:01	36,461
S29	Torpid	21.01.2020	22:47:01	36,523
S29	Torpid	21.01.2020	23:07:01	36,273
S29	Torpid	21.01.2020	23:27:01	37,022
S29	Torpid	21.01.2020	23:47:01	36,897
S29	Torpid	22.01.2020	00:07:01	36,959
S29	Torpid	22.01.2020	00:27:01	37,146
S29	Torpid	22.01.2020	00:47:01	36,835
S29	Torpid	22.01.2020	01:07:01	37,396
S29	Torpid	22.01.2020	01:27:01	37,583
S29	Torpid	22.01.2020	01:47:01	37,645
S29	Torpid	22.01.2020	02:07:01	37,894
S29	Torpid	22.01.2020	02:27:01	37,396
S29	Torpid	22.01.2020	02:47:01	36,959
S29	Torpid	22.01.2020	03:07:01	37,333
S29	Torpid	22.01.2020	03:27:01	37,146
S29	Torpid	22.01.2020	03:47:01	37,333
S29	Torpid	22.01.2020	04:07:01	37,084
S29	Torpid	22.01.2020	04:27:01	36,648
S29	Torpid	22.01.2020	04:47:01	36,024
S29	Torpid	22.01.2020	05:07:01	35,837
S29	Torpid	22.01.2020	05:27:01	36,835
S29	Torpid	22.01.2020	05:47:01	36,772
S29	Torpid	22.01.2020	06:07:01	36,523
S29	Torpid	22.01.2020	06:27:01	36,211
S29	Torpid	22.01.2020	06:47:01	35,837
S29	Torpid	22.01.2020	07:07:01	35,65
S29	Torpid	22.01.2020	07:27:01	35,775
S29	Torpid	22.01.2020	07:47:01	36,149
S29	Torpid	22.01.2020	08:07:01	36,149
S29	Torpid	22.01.2020	08:27:01	36,211
S29	Torpid	22.01.2020	08:47:01	35,775
S29	Torpid	22.01.2020	09:07:01	36,024
S29	Torpid	22.01.2020	09:27:01	35,712
S29	Torpid	22.01.2020	09:47:01	36,648
S29	Torpid	22.01.2020	10:07:01	36,211
S29	Torpid	22.01.2020	10:27:01	35,899
S29	Torpid	22.01.2020	10:47:01	35,962
S29	Torpid	22.01.2020	11:07:01	36,024
S29	Torpid	22.01.2020	11:27:01	36,211
S29	Torpid	22.01.2020	11:47:01	35,899
S29	Torpid	22.01.2020	12:07:01	36,398
S29	Torpid	22.01.2020	12:27:01	36,585
S29	Torpid	22.01.2020	12:47:01	36,273
S29	Torpid	22.01.2020	13:07:01	36,336
S29	Torpid	22.01.2020	13:27:01	36,897
S29	Torpid	22.01.2020	13:47:01	36,772
S29	Torpid	22.01.2020	14:07:01	36,585
S29	Torpid	22.01.2020	14:27:01	36,897
S29	Torpid	22.01.2020	14:47:01	35,962
S29	Torpid	22.01.2020	15:07:01	36,273
S29	Torpid	22.01.2020	15:27:01	36,398
S29	Torpid	22.01.2020	15:47:01	36,585
S29	Torpid	22.01.2020	16:07:01	36,273
S29	Torpid	22.01.2020	16:27:01	36,461
S29	Torpid	22.01.2020	16:47:01	36,461
S29	Torpid	22.01.2020	17:07:01	36,648
S29	Torpid	22.01.2020	17:27:01	36,523
S29	Torpid	22.01.2020	17:47:01	36,523
S29	Torpid	22.01.2020	18:07:01	36,648
S29	Torpid	22.01.2020	18:27:01	36,897
S29	Torpid	22.01.2020	18:47:01	36,585
S29	Torpid	22.01.2020	19:07:01	36,585
S29	Torpid	22.01.2020	19:27:01	36,772
S29	Torpid	22.01.2020	19:47:01	36,959
S29	Torpid	22.01.2020	20:07:01	37,022
S29	Torpid	22.01.2020	20:27:01	36,523
S29	Torpid	22.01.2020	20:47:01	37,209
S29	Torpid	22.01.2020	21:07:01	36,835
S29	Torpid	22.01.2020	21:27:01	36,959
S29	Torpid	22.01.2020	21:47:01	36,959
S29	Torpid	22.01.2020	22:07:01	37,209
S29	Torpid	22.01.2020	22:27:01	37,209
S29	Torpid	22.01.2020	22:47:01	36,772
S29	Torpid	22.01.2020	23:07:01	37,022
S29	Torpid	22.01.2020	23:27:01	36,835
S29	Torpid	22.01.2020	23:47:01	36,772
S29	Torpid	23.01.2020	00:07:01	37,894
S29	Torpid	23.01.2020	00:27:01	37,146
S29	Torpid	23.01.2020	00:47:01	37,271
S29	Torpid	23.01.2020	01:07:01	37,77
S29	Torpid	23.01.2020	01:27:01	37,707
S29	Torpid	23.01.2020	01:47:01	37,957
S29	Torpid	23.01.2020	02:07:01	37,707
S29	Torpid	23.01.2020	02:27:01	37,084
S29	Torpid	23.01.2020	02:47:01	37,271
S29	Torpid	23.01.2020	03:07:01	37,271
S29	Torpid	23.01.2020	03:27:01	37,52
S29	Torpid	23.01.2020	03:47:01	37,271
S29	Torpid	23.01.2020	04:07:01	37,209
S29	Torpid	23.01.2020	04:27:01	37,583
S29	Torpid	23.01.2020	04:47:01	37,396
S29	Torpid	23.01.2020	05:07:01	37,645
S29	Torpid	23.01.2020	05:27:01	36,959
S29	Torpid	23.01.2020	05:47:01	36,149
S29	Torpid	23.01.2020	06:07:01	35,588
S29	Torpid	23.01.2020	06:27:01	36,211
S29	Torpid	23.01.2020	06:47:01	36,585
S29	Torpid	23.01.2020	07:07:01	36,149
S29	Torpid	23.01.2020	07:27:01	35,525
S29	Torpid	23.01.2020	07:47:01	35,276
S29	Torpid	23.01.2020	08:07:01	35,151
S29	Torpid	23.01.2020	08:27:01	35,962
S29	Torpid	23.01.2020	08:47:01	35,338
S29	Torpid	23.01.2020	09:07:01	36,211
S29	Torpid	23.01.2020	09:27:01	36,648
S29	Torpid	23.01.2020	09:47:01	36,461
S29	Torpid	23.01.2020	10:07:01	36,398
S29	Torpid	23.01.2020	10:27:01	36,398
S29	Torpid	23.01.2020	10:47:01	36,149
S29	Torpid	23.01.2020	11:07:01	36,523
S29	Torpid	23.01.2020	11:27:01	36,149
S29	Torpid	23.01.2020	11:47:01	36,273
S29	Torpid	23.01.2020	12:07:01	35,962
S29	Torpid	23.01.2020	12:27:01	35,65
S29	Torpid	23.01.2020	12:47:01	35,65
S29	Torpid	23.01.2020	13:07:01	36,211
S29	Torpid	23.01.2020	13:27:01	36,336
S29	Torpid	23.01.2020	13:47:01	36,149
S29	Torpid	23.01.2020	14:07:01	35,899
S29	Torpid	23.01.2020	14:27:01	36,273
S29	Torpid	23.01.2020	14:47:01	36,149
S29	Torpid	23.01.2020	15:07:01	36,461
S29	Torpid	23.01.2020	15:27:01	35,899
S29	Torpid	23.01.2020	15:47:01	35,962
S29	Torpid	23.01.2020	16:07:01	36,398
S29	Torpid	23.01.2020	16:27:01	36,273
S29	Torpid	23.01.2020	16:47:01	36,086
S29	Torpid	23.01.2020	17:07:01	36,211
S29	Torpid	23.01.2020	17:27:01	36,523
S29	Torpid	23.01.2020	17:47:01	36,835
S29	Torpid	23.01.2020	18:07:01	37,146
S29	Torpid	23.01.2020	18:27:01	36,897
S29	Torpid	23.01.2020	18:47:01	36,835
S29	Torpid	23.01.2020	19:07:01	36,273
S29	Torpid	23.01.2020	19:27:01	36,273
S29	Torpid	23.01.2020	19:47:01	36,959
S29	Torpid	23.01.2020	20:07:01	37,209
S29	Torpid	23.01.2020	20:27:01	37,396
S29	Torpid	23.01.2020	20:47:01	37,146
S29	Torpid	23.01.2020	21:07:01	36,648
S29	Torpid	23.01.2020	21:27:01	36,835
S29	Torpid	23.01.2020	21:47:01	36,897
S29	Torpid	23.01.2020	22:07:01	36,835
S29	Torpid	23.01.2020	22:27:01	36,71
S29	Torpid	23.01.2020	22:47:01	36,71
S29	Torpid	23.01.2020	23:07:01	36,835
S29	Torpid	23.01.2020	23:27:01	37,458
S29	Torpid	23.01.2020	23:47:01	37,022
S29	Torpid	24.01.2020	00:07:01	36,897
S29	Torpid	24.01.2020	00:27:01	37,583
S29	Torpid	24.01.2020	00:47:01	38,019
S29	Torpid	24.01.2020	01:07:01	38,019
S29	Torpid	24.01.2020	01:27:01	37,209
S29	Torpid	24.01.2020	01:47:01	37,52
S29	Torpid	24.01.2020	02:07:01	37,894
S29	Torpid	24.01.2020	02:27:01	37,458
S29	Torpid	24.01.2020	02:47:01	37,396
S29	Torpid	24.01.2020	03:07:01	37,084
S29	Torpid	24.01.2020	03:27:01	37,583
